title,author,price,currency,seller_name,seller_city,seller_region,seller_country,about,binding,condition,edition,isbn,publisher,year_published,availability,searched,edmonton,signed
"Dialogues Concerning Natural Religion, Edited and with Commentary by Nelson Pike","Hume, David",8.5,USD,"Margaret Bienert, Bookseller",Hamilton,ON,Canada,"Soft cover. Condition: Very Good. Owner name on half-title page. Original price sticker on cover. Light foxing to edges. Otherwise a sound, clean copy with no markings. ",Paperback,UsedCondition,,,Bobbs-Merrill,1970.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",8.9,USD,Ann Becker,Houston,TX,U.S.A.,Trade PB. Condition: Good. Dust Jacket Condition: No Dust Jacket. ,Paperback,UsedCondition,,,"Hafner Library Of Classics, New York",1948.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,HUME D,6.63,USD,Aardvark Rare Books,Bucknell,SHROP,United Kingdom,Paperback. Condition: Very Good. **PAPERBACK**. ,Paperback,UsedCondition,,,Hafner,1963.0,InStock,abebooks - hume - dialogues natural religion,False,False
dialogues concerning natural religion. edited withintroduction by henry d. aiken. in englischer sprache.,"hume, david",11.36,USD,alt-saarbrücker antiquariat g.w.melling,Saarbrücken,,Germany,"Hardcover. Condition: Sehr gut. 7. auflage. oktav hardcover. sehr gutes exemplar. ungelesen-tadellos, gebundene ausgabe, handleinenband, 95 seiten. format 20 x 13,5 cm. 450 Gramm. ",Hardcover,UsedCondition,7. auflage.,,"hafner press, new york - london",1975.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",9.04,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Paperback,UsedCondition,,9781511528115,CreateSpace Independent Publishing Platform,2015.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",11.89,USD,ThriftBooks-Dallas,Dallas,TX,U.S.A.,"Paperback. Condition: Good. No Jacket. Pages can have notes/highlighting. Spine may show signs of wear. ~ ThriftBooks: Read More, Spend Less. ",Paperback,UsedCondition,,9781420927047,Digireads.com,2006.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David (Aiken, Henry D.)",5.97,USD,Salsus Books (P.B.F.A.),Kidderminster,,United Kingdom,"Soft cover. Condition: Good. xviii 95pp paperback ex-monastic library with usual stamps and labels, good. ",Paperback,UsedCondition,,,"Hafner Publishing Co., London",1948.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",5.75,USD,Eat My Words Books,Minneapolis,MN,U.S.A.,"Paperback. Condition: Very Good-. Binding tight, spine uncreased. Pages bright and unmarked. Cover bright and glossy and clean, with monor wear long edges, and a slight curl. Support an independent used bookstore in Minneapolis. ; 8.99999999082 X 5.99999999388 X 0.2599999997348000393700787 inches; 114 pages. ",Paperback,UsedCondition,,9781619493711,Hume Press,2013.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion : David Hume,"Hume, David",10.02,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Paperback,UsedCondition,,9781717590329,CreateSpace Independent Publishing Platform,2018.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,David Hume,3.32,USD,HALCYON BOOKS,LONDON,,United Kingdom,Paperback. Condition: Very Good. ALL ITEMS ARE DISPATCHED FROM THE UK WITHIN 24 HOURS ( BOOKS ORDERED OVER THE WEEKEND DISPATCHED ON MONDAY) ALL OVERSEAS ORDERS SENT BY TRACKABLE AIR MAIL. IF YOU ARE LOCATED OUTSIDE THE UK PLEASE ASK US FOR A POSTAGE QUOTE FOR MULTI VOLUME SETS BEFORE ORDERING. ,Paperback,UsedCondition,,,Hafner/Macmillan,1977.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, D.; Aiken, H. D. (ed.)",11.02,USD,Anybook.com,Lincoln,,United Kingdom,"Condition: Good. This is an ex-library book and may have the usual library/used-book markings inside.This book has hardback covers. In good all round condition. No dust jacket. Re-bound by library. Please note the Image in this listing is a stock photo and may not match the covers of the actual item,300grams, ISBN: ",Hardcover,UsedCondition,,,Hafner Publishing Co.,1961.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion (In Focus),"Hume, David",12.95,USD,Benjamin Books,Ottawa,ON,Canada,Soft cover. Condition: Very Good. ,Paperback,UsedCondition,,9780415020145,Routledge,1991.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion (Hafner Library of Classics Series),"Hume, David) Aiken, Henry D Ed",13.99,USD,Wonder Book,Frederick,MD,U.S.A.,Condition: Good. Good condition. No Dust Jacket Writing inside. Slightly dampstained. ,,UsedCondition,,,Hafner Publishing Company,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion (Hafner Library of Classics),"Hume, David",7.0,USD,Persephone's Books,Gastonia,NC,U.S.A.,"Trade Paperback. Condition: Very Good. No Jacket. xix, 95 pp. The lightest of rubbing to the cover edges. The binding is tight and square, and the text is clean. ",Paperback,UsedCondition,,,"Hafner Publishing Company, New York",1969.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,David Hume,26.08,USD,Kennys Bookshop and Art Galleries Ltd.,Galway,GY,Ireland,Condition: Very Good. 1948. Paperback. Clean copy with some shelf wear. . . . . ,Paperback,UsedCondition,,,Hafner Library of Classics,1948.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,Hume David,13.49,USD,BYTOWN BOOKERY,Vars,ON,Canada,"Paperback. Condition: Very Good-. Dust Jacket Condition: No Dust Jacket. Trade Paperback with overall rubbing to the covers. There is a price sticker, inked in with red pen, on cover faded spine, some text block staining and some of the pages (about 10) have underlining and notes on them Previous owner's name written on front free end paper. ; The Library of Liberal Arts; 8vo 8"" - 9"" tall; 249 pages. ",Paperback,UsedCondition,,,"Bobbs-Merrill, Indianapolis, Indiana",1947.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",8.99,USD,Magers and Quinn Booksellers,Minneapolis,MN,U.S.A.,Condition: Very Good. May have light to moderate shelf wear and/or a remainder mark. Complete. Clean pages. ,,UsedCondition,,9782811032142,Hafner Publishing Co.,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion (Hafner Library of Classics),David Hume,16.21,USD,Wonder Book,Frederick,MD,U.S.A.,"Condition: Fair. Acceptable condition. (Philosophy, Theology) A readable, intact copy that may have noticeable tears and wear to the spine. All pages of text are present, but they may include extensive notes and highlighting or be heavily stained. Includes reading copy only books. ",,UsedCondition,,,Hafner Publishing Company,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogue Concerning Natural Religion (HPC Classics Ser.),David Hume,7.5,USD,"Eighth Day Books, LLC",Wichita,KS,U.S.A.,"Paper Back. Condition: Very Good. Crisp, unread copy, appears almost as new. ",Paperback,UsedCondition,,,Hafner Publishing Company January 1966,1966.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogue Concerning Natural Religion (HPC Classics Ser.),David Hume,7.5,USD,"Eighth Day Books, LLC",Wichita,KS,U.S.A.,"Paper Back. Condition: Very Good. Light rubbing to covers, binding firm, text unmarked. Cover image varies from that shown. ",Paperback,UsedCondition,,,Hafner Publishing Company January 1966,1966.0,InStock,abebooks - hume - dialogues natural religion,False,False
The Natural History of Religion / Dialogues Concerning Natural Religion,"Hume, D Colver, A W (ed.) Price, J V (ed.)",15.03,USD,Anybook.com,Lincoln,,United Kingdom,"Condition: Good. This is an ex-library book and may have the usual library/used-book markings inside.This book has hardback covers. In good all round condition. No dust jacket. Please note the Image in this listing is a stock photo and may not match the covers of the actual item,600grams, ISBN:0198243790. ",Hardcover,UsedCondition,,9780198243793,Oxford Clarendon Press,1976.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",14.88,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Paperback,UsedCondition,,9789355222794,Classy Publishing,2023.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion.,"Hume, David",14.34,USD,Redins antikvariat,Enköping,,Sweden,Edited with an introduction and notes by Martin Bell. Penguin 1990. 153 pages. Paper back.[#218682]. ,Paperback,UsedCondition,,,,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",5.0,USD,Concordia Books,Rensselaer Falls,NY,U.S.A.,"Trade Paperback. Condition: Very Good. Pb., 191 pp., clean, unmarked copy with light general wear. ",Paperback,UsedCondition,,9781440050824,"Forgotten Books, Lexington,KY",2010.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",13.26,USD,R.W. Forder,Gosport,,United Kingdom,"Soft cover. Condition: Very Good. Disbound pamphlet. "" A new Edition, with a Preface and Notes, which bring the Subject down to the present time"". I presume the preface was written by Scott. The publisher published many pamphlets on deistic and freethought themes between 1862-'77. ",Paperback,UsedCondition,,,"Thomas Scott, London",,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion -,David Hume -,20.14,USD,"""Pursuit of Happiness"" Books",Oakland,CA,U.S.A.,Soft Cover. Condition: Good. PB/pub.1970/Fair condition/238 pages - Discusses the Hume dialogues concerning natural religion. [AI228903]. ,Paperback,UsedCondition,,,Bobbs Publishing -,1970.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion and The Natural History of Religion.,"Hume, David and Smollett",15.77,USD,Redins antikvariat,Enköping,,Sweden,"Edited with an introduction by J.C.A. Gaskin. Oxford University Press 1993. xxxii,218 pages. Paperback.[#218681]. ",Paperback,UsedCondition,,,,,InStock,abebooks - hume - dialogues natural religion,False,False
"Dialogues concerning natural religion, (The Library of Liberal Arts)","Hume, David",9.15,USD,D2D Books,Berkshire,,United Kingdom,"Soft cover. Condition: Good. Library of Liberal Arts, Indianapolis, 1947. Soft Cover, creases to spine and covers but still in good tight clean reading order. Full refund if not satisfied. 24 hour despatch . ",Paperback,UsedCondition,,,,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion. Edited with an Introduction By Henry D. Aiken,David Hume,6.28,USD,Good Reading Secondhand Books,Benalla,VIC,Australia,"Soft Cover. The prliminaries are foxed, else a very good copy. Size: 8vo - over 7¾"" - 9¾"" Tall. ",Paperback,UsedCondition,,,"Hafner Publishing Company, New York",1948.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",8.0,USD,Windows Booksellers,Eugene,OR,U.S.A.,"Hardcover, no dust jacket. Ex-library, otherwise very good. 250 pp. ",Hardcover,UsedCondition,,,Library of Liberal Arts,1947.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion;,"Hume, David 1711-1776",20.41,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Paperback,UsedCondition,,9781014926029,Hassell Street Press,2021.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues and the Natural History of Religion,"Hume, David; Ross, Hugh (NRT)",20.83,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,,UsedCondition,,9781665061285,Naxos and Blackstone Publishing,2021.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",16.34,USD,Phatpocket Limited,Waltham Abbey,HERTS,United Kingdom,Condition: Like New. Used - Like New. Book is new and unread but may have minor shelf wear. Your purchase helps support Sri Lankan Children's Charity 'The Rainbow Centre'. Our donations to The Rainbow Centre have helped provide an education and a safe haven to hundreds of children who live in appalling conditions. ,Paperback,UsedCondition,,9781313937405,HardPress Publishing,2013.0,InStock,abebooks - hume - dialogues natural religion,False,False
Hume: Dialogues Concerning Natural Religion and other writings,"Hume, David (edited by Dorothy Coleman)",19.89,USD,Edinburgh Books,Edinburgh,,United Kingdom,"Softcover. Condition: Near Fine. First Edition Thus. 2007. liv, 157pp. ""David Hume's Dialogues concerning Natural Religion, first published in 1779, is one of the most influential works in the philosophy of religion and the most artful instance of philosophical dialogue since the dialogues of Plato. It presents a fictional conversation between a sceptic, an orthodox Christian, and a Newtonian theist concerning evidence for the existence of an intelligent cause of nature based on observable features of the world. This edition presents it together with several of Hume's other, shorter writings about religion, and with brief selections from the work of Pierre Bayle, who influenced both Hume's views on religion and the dialectical style of the Dialogues. The volume is completed by an introduction which sets the Dialogues in its philosophical and historical contexts. "" The book is in excellent condition. All contents are tight and clean. There are no inscriptions. Size: 9"" Tall. ",Paperback,UsedCondition,First Edition Thus.,9780521603591,"Cambridge University Press, Cambridge",2007.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",21.73,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Hardcover,UsedCondition,,9781947844759,Suzeteo Enterprises,2018.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion: The Hafner Library of Classics Number Five,"Hume, David; Aiken, Henry D (editor)",15.0,USD,OddReads,Harper,TX,U.S.A.,Trade Paperback. Condition: Fine. rubbed wrappers with edgewear; underlinigng and notes throughout--not affecting readability. Book. ,Paperback,UsedCondition,,,"Hafner Publishing Co, New York NY",1961.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",6.29,USD,Hawking Books,Edgewood,TX,U.S.A.,Condition: Very Good. Very Good Condition. Has some wear. Five star seller - Buy with confidence!. ,Paperback,UsedCondition,,9781481218207,CreateSpace Independent Publishing Platform,2012.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion: The Hafner Library of Classics Number Five,"Hume, David",3.5,USD,Great Expectations Rare Books,,,Staten Island,"Soft cover. Condition: Good. Reprint. Trade paperback. 95 pages. Edited, with an introduction, by Henry D. Aiken. Reprint. From the library of John M. Cooper, Emeritus Henry Putnam University Professor of Philosophy at Princeton University, with his name on fly. Pencil highlighting in margins, and brief marginalia and underling to text, also in pencil. Covers toned. A good, solid used copy. ",Paperback,UsedCondition,Reprint,,"Hafner Publishing Company, New York",1957.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,David Hume,3.5,USD,Firefly Bookstore,Kutztown,PA,U.S.A.,"Trade Paperback. Condition: Used Very Good. Front and back covers have very slight edge and corner wear. Spine intact with no creasing or warping. Binding is tight and intact, pages clean and unmarked. Firefly sells new and used books through our store front. We try to add a detailed description to as many titles as possible. If you have questions regarding this title, please contact us. Photos available on request. ",Paperback,UsedCondition,,9781420928136,Neeland Media LLC March 2007,2007.0,InStock,abebooks - hume - dialogues natural religion,False,False
"Immanuel Kant und David Hume's Dialogues Concerning Natural Religion. Ein Versuch zur Aufhellung der Bedeutung von Humes Spätschrift für die Philosophie Immanuel Kants, im besonderen für die 'Kritik der reinen Vernunft'.","Kant -- Hume -- Löwisch, Dieter-Jürgen:",27.52,USD,Antiquariat & Verlag Jenior,Kassel,HE,Germany,"174 S. Kartoniert. Einband lichtrandig, Papier alterungsbedingt gebräunt. Handschriftliche Widmung des Autors auf Titelblatt. Exemplar ohne Anstreichungen. Gut erhalten. Sprache: deu. ",Paperback,UsedCondition,,,Bonn. Rheinische Friedrich-Wilhelms-Universität. 1964. (Dissertation).,1964.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David (Bruce M'Ewen, Introduction)",15.0,USD,Row By Row Bookshop,Sugar Grove,NC,U.S.A.,"Trade Paperback. Condition: Good. Dust Jacket Condition: No Dust Jacket. Reprint Edition. A Good copy in lightly worn paper covers. Owner's name of Harold Barger at the front endpaper. A clean/unmarked copy within, and not ex-library. Book. ",Paperback,UsedCondition,Reprint Edition.,,"William Blackwood and Sons, Edinburgh and London",1907.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",15.64,USD,Ken Saunders,Stirling,ON,Canada,"edited & Intro By Henry D. Aiken soft covers, owners name insdie front cover, very good condition. ",,UsedCondition,,,"Hafner Pub, New York",1951.0,InStock,abebooks - hume - dialogues natural religion,False,False
"Dialogues concerning natural religion. Edited, with an introduction by H.D. Aiken.","HUME, D.",11.47,USD,Antiquariaat Isis,Groningen,,Netherlands,"New York, Hafner Press, 1969. (XX)) 249 pp. Paperback. (HLC. Bibliography. *name on endpaper, good condition*. ",Paperback,UsedCondition,,,,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David) Aiken, Henry D (Editor)",7.5,USD,"Dorley House Books, Inc.",Hagerstown,MD,U.S.A.,"Paperback. Condition: Very Good. 95 clean, unmarked pages Size: 12 vo; .5 Pound. ",Paperback,UsedCondition,,,"Hafner Publishing Company, NY",1969.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion.; Edited with an introduction by Norman Kemp Smith,"Hume, David",12.0,USD,"J. HOOD, BOOKSELLERS,    ABAA/ILAB",Baldwin City,KS,U.S.A.,"Paperback. 249pp. Covers sunned, else very good condition with text clean and binding sound. ",Paperback,UsedCondition,,,Bobbs-Merrill,1964.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion.,"Hume, D.",15.91,USD,Oast Park Books,Southend -on- Sea,ESSEX,United Kingdom,no date. Hardback. Book - Fair. Ex-lib. Rear board coming loose. ,,UsedCondition,,,,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion and the Natural History of Religion,"Hume, David; Ross, Hugh (NRT)",22.46,USD,GreatBookPricesUK,Castle Donington,DERBY,United Kingdom,Condition: As New. Unread book in perfect condition. ,,UsedCondition,,9781665061292,Naxos and Blackstone Publishing,2021.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogi o religii naturalnej. Naturalna historia religii wraz z dodatkami/Dialogues concerning natural religion; The natural history of religion,Hume Dawid,25.75,USD,POLIART Beata Kalke,Tworog,,Poland,"Condition: Pozycja w ladnym stanie. @ Co-Authors / Wspolautorzy: Przeklad, opracowanie i wstep Anna Hochfeldowa; @ Blurb / Notka wydawnicza: Warszawa: Panstwowe Wydawnictwo Naukowe, 1962; @ Size of the book block / Wymiar bloku: 20 cm; @ Series / Seria: (Seria: Biblioteka Klasykow Filozofii); @ Circulation / Naklad: 3250; @ Weight / Waga: 420; @ Pages / Strony: LVI, 260, [10]s., [1]k. tabl.; @ Thematic categories / Kategorie tematyczne: nauka filozofia / science philosophy / Wissenschaft Philosophie; Oprawa wydawnicza plotno, obwoluta. ",,UsedCondition,,,"Warszawa: Panstwowe Wydawnictwo Naukowe, 1962",1962.0,InStock,abebooks - hume - dialogues natural religion,False,False
Treatise of human nature.and dialogues concerning natural religion edited with preliminary dissertations and notes by T H Green & T H Grose in 2 vols,HUME D [Green & Grose],26.52,USD,Rosemary Pugh Books,SALISBURY,WILTS,United Kingdom,"Longmans Green 1878 xxii 565/xii 472pp ex-library hardbacks, Vol I spine faded with some loss at top of spine, p 505 torn Vol II spine strip missing, hinges exposed, text bright and clean, a good working copy Good. ",,UsedCondition,,,,,InStock,abebooks - hume - dialogues natural religion,False,False
DIALOGUES CONCERNING NATURAL RELIGION,HUME David,23.97,USD,Le-Livre,SABLONS,,France,"Couverture souple. Condition: bon. RO60068785: 1975. In-8. Broché. Bon état, Couv. légèrement pliée, Dos satisfaisant, Intérieur frais. 95 pages. Annotation en page de garde. . . . Classification Dewey : 420-Langue anglaise. Anglo-saxon. ",Paperback,UsedCondition,,,Hafner Press - Collier Macmillan,1975.0,InStock,abebooks - hume - dialogues natural religion,False,False
A Treatise of Human Nature being an attempt to introduce the experimental method of reasoning into moral subjects and dialogues concerning natural religion in two volumes. Vol. 2. New Edition.,"Hume, D.,",28.67,USD,Zentralantiquariat Leipzig GmbH,Leipzig,,Germany,"XII, 472 S. Lwd. d. Zt. Einbd. verblichen. Rücken eingerissen. Sprache: Englisch. ",,UsedCondition,,,London Longman Green & Co,1878.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion: The Hafner Library of Classics Number Five,"Hume, David; Aiken, Henry D (editor)",12.48,USD,GridFreed,North Las Vegas,NV,U.S.A.,Paperback. Condition: Good. Good condition with light wear to cover. Light wear to binding. ,Paperback,UsedCondition,,,Hafner Publishing Co,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David & Smith, Norman K. (Editor)",4.0,USD,a2zbooks,Burgin,KY,U.S.A.,"Softcover. Condition: Good. Edition Unstated. Text has some highlighting, their is a price on front of book that says 4.75, crease down spine of book, some ware on front of book near middle spine. 248 pages. Quantity Available: 1. Shipped Weight: Under 1 kilo. Category: Religion & Theology; Pictures of this item not already displayed here available upon request. Inventory No: 1561001518. ",Paperback,UsedCondition,Edition Unstated.,,"Macmillan Publishing Company, Incorporated",1947.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David:",13.71,USD,Buchpark,Trebbin,,Germany,"Condition: Sehr gut. 78 Seiten Gepflegter, sauberer Zustand. 34947348/2 Altersfreigabe FSK ab 0 Jahre Taschenbuch, Größe: 15.6 x 0.5 x 23.4 cm. ",Paperback,UsedCondition,,9789353364731,Lector House,2019.0,InStock,abebooks - hume - dialogues natural religion,False,False
On Religion: The Natural History of Religion; Dialogues Concerning Natural Religion; My Own Life,"Hume, David",33.98,USD,ThriftBooks-Dallas,Dallas,TX,U.S.A.,"Mass Market Paperback. Condition: Fair. No Jacket. Readable copy. Pages may have considerable notes/highlighting. ~ ThriftBooks: Read More, Spend Less. ",Paperback,UsedCondition,,,Meridian Books,,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David; Smith, Norman Kemp (ed)",4.95,USD,a2zbooks,Burgin,KY,U.S.A.,"Softcover. Condition: Fair. Ex-library (church) copy with normal markings and attachments. Text is underlined in half the copy, clean, pages are lightly toned. Binding is tight and solid. Cover shows edge and handling wear and small creases. Name to title page. Preface by editor dated June, 1935, preface to 2nd edition by editor dated Mar., 1946. 249 pages. Quantity Available: 1. Shipped Weight: Under 500 grams. Category: Religion & Theology; Reference. Pictures of this item not already displayed here available upon request. Inventory No: 1560804326. As stated, 8th printing dated 1947 taken from the original dated 1779. ",Paperback,UsedCondition,,,"The Library of Liberal Arts/Bobbs-Merrill Company, Inc, Indianapolis, IN",1947.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David & Smith, Norman K. (Editor)",5.0,USD,a2zbooks,Burgin,KY,U.S.A.,"Softcover. Condition: Very Good. Edition Unstated. Text has some highlighting, crease down spine of book, some ware on front of book near middle spine. writing on inside cover page, ware on cover page. 248 pages. Quantity Available: 1. Shipped Weight: Under 1 kilo. Category: Religion & Theology; Pictures of this item not already displayed here available upon request. Inventory No: 1561001526. ",Paperback,UsedCondition,Edition Unstated.,,"Macmillan Publishing Company, Incorporated",1947.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues and the Natural History of Religion : Library Edition,"Hume, David; Ross, Hugh (NRT)",29.1,USD,GreatBookPricesUK,Castle Donington,DERBY,United Kingdom,Condition: As New. Unread book in perfect condition. ,,UsedCondition,,9781665061278,Naxos,2021.0,InStock,abebooks - hume - dialogues natural religion,False,False
Hume's Dialogues Concerning Natural Religion,"Smith, Norman Kemp, editor/Introduction (and David Hume)",25.0,USD,Row By Row Bookshop,Sugar Grove,NC,U.S.A.,"Hardcover. Condition: Fair. Dust Jacket Condition: No Dust Jacket. A Fair copy in dark blue cloth lettered in gold, with cloth wear along the rear spine fold (glue-mended and now protected with a mylar jacket). A prior bookseller's note states that this is from Hume scholar E.C. Mossner's library, with his marginalia and extensive underlining. Purchased by us with other books from Mossner's library, but no owner's name. No dust jacket. (Not ex-library.) Second Edition, with Supplementary Bibliographies. Book. ",Hardcover,UsedCondition,,,"Thomas Nelson and Sons, Edinburgh",1947.0,InStock,abebooks - hume - dialogues natural religion,False,False
Hume: Dialogues Concerning Natural Religion,"Hume, David",14.95,USD,Great Expectations Rare Books,,,Staten Island,"Soft cover. Condition: Very Good+. First Edition. Trade paperback. 238 pages. Edited and with commentary by Nelson Pike. First edition thus. Previous owner's name on front end-paper - John M. Cooper, [ Emeritus Henry Putnam University Professor of Philosophy at Princeton University], from the library of George Pitcher. No spine crease. A clean, square, unmarked copy. very good+. ",Paperback,UsedCondition,First Edition,,"The Bobbs-Merrill Company, Inc., Indianapolis",1970.0,InStock,abebooks - hume - dialogues natural religion,False,False
Dialogues Concerning Natural Religion,"Hume, David",22.0,USD,Callaghan Books South,New Port Richey,FL,U.S.A.,"Trade Paperback. Condition: Very Good. (The Library of Liberal Arts series) Edited with Introduction by Norman Kemp Smith. (8th ptg.) Trade paperback, glossy and colorfully designed in red, blue, orange and yellow on front and back wrappers, 249 pages. Lightly rubbed on front bottom left, slightly rubbed in places on back right, light wear to bottom tips. Very Good. ",Paperback,UsedCondition,,,Bobbs-Merrill,,InStock,abebooks - hume - dialogues natural religion,False,True
"Dialogues Concerning Natural Religion, And Other Writings","Hume, David; Coleman, Dorothy (EDT)",34.66,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Paperback,UsedCondition,,9780521603591,Cambridge University Press,2007.0,InStock,abebooks - hume - dialogues natural religion,False,False
Polynesian Mythology and Ancient Traditional History of the Maori as Told by Their Priests and Chiefs,George Grey,5.05,USD,OwlsBooks,Toledo,OH,U.S.A.,"Hardcover. Condition: GOOD. Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included. ",Hardcover,UsedCondition,,,Taplinger Pub. Co,,InStock,abebooks - george grey - polynesian mythology,False,False
Polynesian Mythology & Ancient Traditional History of the New Zealanders; as Furnished By Their Prisets and Chiefs,"Grey, Sir George",10.0,USD,Montreal Books,Westmount,QC,Canada,"Hardcover. Condition: Good (Book Condition). A good copy. Chip- loss to head of spine, which is also rubbed. Owner's bookplate. Text clean, binding strong. [Our rating system: 1. Fine; 2. Near Fine; 3. Very Good; 4. Good; 5. Fair.]. Book. ",Hardcover,UsedCondition,,,"George Routlegde and Sons, London",,InStock,abebooks - george grey - polynesian mythology,False,False
Polynesian Mythology & Ancient Traditional History of the New Zealanders; as Furnished By Their Prisets and Chiefs,"Grey, Sir George",10.0,USD,RPBooks,Champlain,NY,U.S.A.,"Hardcover. Condition: Good (Book Condition). A good copy. Chip- loss to head of spine, which is also rubbed. Owner's bookplate. Text clean, binding strong. [Our rating system: 1. Fine; 2. Near Fine; 3. Very Good; 4. Good; 5. Fair.]. Book. ",Hardcover,UsedCondition,,,"George Routlegde and Sons, London",,InStock,abebooks - george grey - polynesian mythology,False,False
